RequirementText,NFR
The system shall operate on Unix and Windows operating systems.,1
The system shall be evoked by typing “pine” into a command or shell prompt.,1
The system shall use the SMTP mail protocol.,1
The system shall support the ability to perform a send and receive operation.,0
The system shall support the ability to perform a send only operation.,0
The system shall support the ability to perform a receive only operation.,0
The system shall use a text-based interface to display a listing of available mail.,0
The system shall have a help system that offers tips and explanation for each screen and each item on the screens upon demand.,1
The system shall display and embed in each message a date/timestamp of when the message was sent.,0
The system shall allow a text search that users may use to find mail messages.,0
The system search feature should support the use of regular expressions in search.,0
The system shall provide an option to withdraw money.,0
The system shall query the user for the amount of money.,0
The system shall query the user for the account type.,0
The system shall validate the amount is available in the user’s account before releasing funds to the user.,0
The system shall validate the amount is a multiple of $20.,0
The system shall debit the user’s account upon withdrawal of funds.,0
The system shall be able to issue a specific amount of money to the user.,0
The meeting scheduler system shall be able to select a participant as an important participant.,0
The meeting scheduler system shall cancel a meeting due to canceling of an important participant.,0
The meeting scheduler system shall reschedule a meeting to support conflict resolutions.,0
The meeting scheduler shall be accessed from the Web.,1
The meeting scheduler system may (optionally) automatically propose another meeting if current meeting is canceled by an important participant.,0
The meeting scheduler system may provide the “meeting initiator” a summary of the scan of “potential meeting participants” showing available “time slots” and schedule conflicts as a means of informing the “meeting initiator” of the overall results of the system.,0
The meeting scheduler system may be able to include an agenda for a meeting proposal.,0
The meeting scheduler system may suggest a “virtual meeting” for available “time slots” if no location is available or feasible for the meeting.,0
The meeting scheduler system may be able to include a list of required equipment for a meeting proposal.,0
A meeting scheduler system will temporarily reserve the “time slots” for the proposed meeting.,0
A meeting scheduler system will inform the “potential meeting participant” of the meeting.,0
The system must be easy to use by both managers and chefs such that they do not need to read an extensive amount of manuals.,1
The system must be quickly accessible by both managers and chefs.,1
The system must be intuitive and simple in the way it displays all relevant data and relationships.,1
The menus of the system must be easily navigable by the users with buttons that are easy to understand.,1
All the functions of the system must be available to the user every time the system is turned on.,1
The calculations performed by the system must comply according to the norms set by the user and should not vary unless explicitly changed by the user.,1
The client should agree to EULA before using our software.,1
All Web pages generated by the system shall be fully downloadable in no more than 10 seconds over a 40KBps modem connection.,1
Responses to queries shall take no longer than 7 seconds to load onto the screen after the user submits the query.,1
The system shall display confirmation messages to users within 4 seconds after the user submits information to the system.,1
All network transactions that involve financial information or personally identifiable information shall be encrypted.,1
